Planta,Metabólito
Eleusine indica,strigol
Brachiaria brizantha,alpha-pinene
Amaranthus hybridus,hexenal
Eleusine indica,alpha-terpinene
Emilia sonchifolia,indole
Portulaca oleracea,luteolin
Ipomoea nil,strigol
Echinochloa colonum,indole
Cenchrus echinatus,indole
Ipomoea nil,E-beta-ocimene
Ipomoea nil,beta-phellandrene
Leonotis nepetifolia,indole
Ipomoea purpurea,ethylene
Panicum maximum,strigol
Ipomoea nil,dimboa
Pogostemon patchouli,terpinolene
Sorghum halepense,alpha-pinene
Senna obtusifolia,indole
Hyptys suaveolens,E-beta-ocimene
Lolium multiflorum,luteolin
Ipomoea nil,indole
Pogostemon patchouli,E-beta-ocimene
Galinsoga parviflora,strigol
Sonchus oleraceus,indole
Alternanthera tenella,indole
Ageratum conyzoides,alpha-pinene
Nicandra physaloides,alpha-pinene
Ipomoea nil,terpinolene
Senna obtusifolia,alpha-pinene
Ipomoea nil,1-8-cineole
Avena fatua,alpha-pinene
Sonchus oleraceus,strigol
Lolium multiflorum,tricine
Ageratum conyzoides,indole
Hyptys suaveolens,beta-phellandrene
Ipomoea nil,eugenol
Pogostemon patchouli,beta-phellandrene
Parthenium hysterophorus,strigol
Raphanus raphanistrum,strigol
Amaranthus palmeri,8-cadinene
Cenchrus echinatus,alpha-pinene
Avena fatua,strigol
Lolium multiflorum,alpha-pinene
Pogostemon patchouli,bicylogermacrene
Pogostemon patchouli,8-cadinene
Galinsoga parviflora,alpha-pinene
Rhynchelytrum repens,alpha-pinene
Eleusine indica,beta-ocimene
Ipomoea nil,luteolin
Echinochloa colonum,strigol
Alternanthera tenella,luteolin
Brachiaria brizantha,indole
Hyptys suaveolens,myrcene
Digitaria insularis,indole
Amaranthus spinosus,strigol
Amaranthus hybridus,strigol
Brachiaria brizantha,strigol
Ipomoea nil,8-cadinene
Sorghum halepense,strigol
Hyptys suaveolens,beta-caryophyllene
Amaranthus spinosus,indole
Ipomoea purpurea,luteolin
Ipomoea nil,alpha-humulene
Amaranthus viridis,luteolin
Nicandra physaloides,strigol
Sorghum halepense,indole
Amaranthus deflexus,alpha-pinene
Brachiaria decumbens,alpha-pinene
Coronopus didymus,indole
Ipomoea nil,alpha-terpinene
Siegesbeckia orientalis,strigol
Siegesbeckia orientalis,indole
Pogostemon patchouli,beta-caryophyllene
Ipomoea purpurea,alpha-pinene
cyperus rotundus,alpha-pinene
Ipomoea nil,myrcene
Avena fatua,indole
Lolium multiflorum,indole
Portulaca oleracea,alpha-humulene
Hyptys suaveolens,terpinolene
Senna obtusifolia,strigol
Ipomoea nil,beta-bisabolene
Eleusine indica,terpinolene
Hyptys suaveolens,gamma-terpinene
Pogostemon patchouli,gamma-terpinene
Galinsoga parviflora,indole
Nicandra physaloides,methyl jasmonate
Alternanthera tenella,alpha-humulene
Raphanus raphanistrum,indole
Amaranthus palmeri,hexenal
Amaranthus hybridus,alpha-humulene
Avena fatua,ethylene
Raphanus raphanistrum,alpha-pinene
Hyptys suaveolens,beta-ocimene
Ipomoea purpurea,indole
Hyptys suaveolens,beta-bisabolene
Ipomoea nil,jasmonic acid
Amaranthus palmeri,alpha-pinene
Amaranthus hybridus,alpha-pinene
Brachiaria decumbens,strigol
Amaranthus spinosus,hexenal
Pogostemon patchouli,alpha-terpinene
Pogostemon patchouli,luteolin
Eleusine indica,1-8-cineole
Pogostemon patchouli,hexenal
Pogostemon patchouli,alpha-pinene
Ipomoea nil,bicylogermacrene
Ipomoea purpurea,strigol
Amaranthus viridis,alpha-pinene
Ipomoea nil,ethylene
Ipomoea nil,beta-caryophyllene
Amaranthus viridis,dimboa
Panicum maximum,indole
Emilia sonchifolia,alpha-pinene
Amaranthus deflexus,strigol
Alternanthera tenella,strigol
Amaranthus spinosus,alpha-pinene
Ipomoea nil,alpha-pinene
Pogostemon patchouli,myrcene
Amaranthus viridis,alpha-humulene
Alternanthera tenella,alpha-pinene
Hyptys suaveolens,bicylogermacrene
Amaranthus viridis,strigol
Brachiaria decumbens,indole
Parthenium hysterophorus,alpha-pinene
Amaranthus viridis,indole
Siegesbeckia orientalis,alpha-pinene
Amaranthus hybridus,indole
Lolium multiflorum,eugenol
Hyptys suaveolens,indole
Leonotis nepetifolia,strigol
Eleusine indica,indole
Ipomoea nil,methyl jasmonate
Portulaca oleracea,alpha-pinene
Hyptys suaveolens,8-cadinene
Hyptys suaveolens,alpha-humulene
Eleusine indica,myrcene
Pogostemon patchouli,beta-ocimene
Ipomoea nil,beta-ocimene
Ageratum conyzoides,strigol
Raphanus raphanistrum,ethylene
Panicum maximum,alpha-pinene
Ipomoea purpurea,dimboa
Portulaca oleracea,indole
Lolium multiflorum,strigol
Amaranthus viridis,hexenal
Solanum americanum,indole
Hyptys suaveolens,1-8-cineole
Ipomoea nil,tricine
Pogostemon patchouli,strigol
Echinochloa colonum,alpha-pinene
Solanum americanum,alpha-pinene
cyperus rotundus,indole
Cenchrus echinatus,strigol
Hyptys suaveolens,alpha-terpinene
Pogostemon patchouli,beta-bisabolene
Amaranthus hybridus,luteolin
Portulaca oleracea,strigol
Sonchus oleraceus,alpha-pinene
Amaranthus palmeri,indole
Amaranthus palmeri,strigol
Leonotis nepetifolia,alpha-pinene
Ipomoea purpurea,alpha-humulene
Ipomoea nil,gamma-terpinene
Nicandra physaloides,jasmonic acid
Eleusine indica,beta-phellandrene
Pogostemon patchouli,1-8-cineole
cyperus rotundus,strigol
Parthenium hysterophorus,indole
Ipomoea nil,hexenal
Eleusine indica,alpha-pinene
Nicandra physaloides,indole
Eleusine indica,8-cadinene
Pogostemon patchouli,alpha-humulene
